title,description,sdl_first_name,sdl_last_name,service_owner_first_name,service_owner_last_name,division,category,core
VOIP,Landline telephones and access code for phone service,Talal,Qureshi,Sampath,Rengarajan,Infrastructure Management,TELECOM,TRUE
APPLICATION AUTHENTICATION AND AUTHORIZATION,Use NYC.ID to handle auth for internal city services,Rakesh,Patel,Geoff,Brown,Information Security,APPLICATION SERVICES ,FALSE
AUTOMATIC USER DE-PROVISIONING,Automated or maual system to de-provision users,Rakesh,Patel,Daniel,Nunez,Information Security,CITYWIDE CYBERSECURITY,FALSE
IDENTITY MANAGEMENT ,Onboard Agency users to citywide ID Management,Rakesh,Patel,Daniel,Nunez,Information Security,CITYWIDE CYBERSECURITY,FALSE
MCAFEE DESKTOP AND SERVER ANTI-VIRUS HOSTED SOLUTION ,Antivirus SaaS on DoITT's licence agreement,Jamie,Arnold,Quiessence,Phillips,Information Security,"SOFTWARE LICENSES, ENTERPRISE LICENSE AGREEMENTS (ELA) & SOLUTIONS",FALSE
NYC.ID/IDENTITY MANAGEMENT ,Onboard Agency users to citywide ID Management,Rakesh,Patel,Daniel,Nunez,Information Security,CITYWIDE CYBERSECURITY,FALSE
PASSWORD SELF-SERVICE,Agency user password retrieval via cityshare,Rakesh,Patel,Daniel,Nunez,Information Security,CITYWIDE CYBERSECURITY,FALSE
PUBLIC ACCOUNT MANAGEMENT (NYC.ID) ,Use NYC.ID for account management on public apps,Rakesh,Patel,Geoff,Brown,Information Security,APPLICATION SERVICES ,FALSE
SITE-TO-SITE VPN,Connect remote offices to city services with VPNs ,Karan,Nagpal,Daniel,Nunez,Infrastructure Management,CITYWIDE CYBERSECURITY,FALSE
SOFTWARE SECURITY ASSURANCE,Compliance verification for citywide security policies,Victoria,Koveshnikov,Malik,Bernard,Information Security,CITYWIDE CYBERSECURITY,FALSE
SSL REMOTE ACCESS,"Remote desktop, application, and data access ",Karan,Nagpal,Daniel,Nunez,Infrastructure Management,CITYWIDE CYBERSECURITY,FALSE
WEB SINGLE SIGN-ON,Use SM login to access NYC.ID for SSO capability,Rakesh,Patel,Geoff,Brown,Information Security,CITYWIDE CYBERSECURITY,FALSE
ADVISORY SERVICES ,"Tech strategy, eval, review",Steve,Bezman,Donald,Sunderland,Enterprise and Solution Architecture,PROFESSIONAL SERVICES,FALSE
CLOUD REVIEW,Validate cloud use case,Rod,Berger,Steve,Bezman,Enterprise and Solution Architecture,PROFESSIONAL SERVICES,FALSE
ADOBE ETLA,Access to Adobe ELA,James,Mayor,Harriet,King,First Deputy Commissioner,"SOFTWARE LICENSES, ENTERPRISE LICENSE AGREEMENTS (ELA) & SOLUTIONS",FALSE
CDWG - IT GOODS AND RELATED SERVICES ,Purchase IT Hardware,John,Katsorhis,John,Katsorhis,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
CISCO MAINTENANCE CONTRACT,Initial or renewal of CISCO hardware/software,John,Gioia,John,Gioia,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
CITYWIDE MASTER AGREEMENT FOR ORACLE HARDWARE AND SOFTWARE SUPPORT RENEWALS,Renew Oracle hardware and software,John,Gioia,John,Gioia,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
GEOGRAPHIC INFORMATION TECHNOLOGIES AND SERVICES (GIS),GIS app dev service via an approved contractor,Tim,Keane,Tim,Keane,Business Solutions Delivery,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
INFORMATION TECHNOLOGY CONSULTANT SERVICES (ITCS 4),Create an RFP for IT consulting services,Michael,Williams,Michael,Williams,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
IT SECURITY ( SECURITY CLASS II),Preventing and fixing malicious technology threats,Kevin,Timoney,Michael,Williams,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
MICROSOFT ELA,Access to Microsoft ELA,James,Mayor,Dina,Desiderio,First Deputy Commissioner,"SOFTWARE LICENSES, ENTERPRISE LICENSE AGREEMENTS (ELA) & SOLUTIONS",FALSE
QUALITY CONTROL SERVICES (QC),App dev service via an approved contractor,Kevin,Timoney,Michael,Williams,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
SYSTEMS INTEGRATION SERVICES (SI),System integration service via an approved contractor,Kevin,Timoney,Michael,Williams,First Deputy Commissioner,CITYWIDE IT GOODS AND SERVICES CONTRACTS,FALSE
VMWARE ELA,Access to Vmware ELA,James,Mayor,Dina,Desiderio,First Deputy Commissioner,"SOFTWARE LICENSES, ENTERPRISE LICENSE AGREEMENTS (ELA) & SOLUTIONS",FALSE
SERVICE DESK,Onboard agency to DoITT technical support,Licinia,Lugo,April,Turner,Service Management,HOSTING SERVICES,TRUE
CITYNET,Onboard to NYC intranet,,,,,Infrastructure Management,NETWORK,TRUE
NYC.GOV,"Design, build, and host agency website on .gov domain",Christopher,Long,Christopher,Long,Business Solutions Delivery,APPLICATION SERVICES ,TRUE
PRIMARY DATA CENTER,"DoITT hosts most, if not all, of the IT infrastructure for an agency",,,,,Infrastructure Management,HOSTING SERVICES,TRUE
APPLICATION SUPPORT,,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
BUSINESS ANALYSIS,,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
BUSINESS-AS-USUAL (ANALYTICS),,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
DESKTOP SUPPORT,,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
FUNCTIONAL TESTING,,,,,,Business Solutions Delivery,TESTING SERVICES,FALSE
HUMAN CENTERED DESIGN,,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
LYNC 2013,,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
NETWORK LAN SUPPORT,,,,,,Infrastructure Management,NETWORK,FALSE
PROJECT MANAGEMENT,,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
SECURE FILE TRANSFER,,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
SITE B (STERLING FOREST) MAINFRAME,,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
"SITE B COLOCATION (NETWORK CONNECTIVITY, AND EMERGENCY SUPPORT DURING BUSINESS HOURS)",,,,,,Infrastructure Management,HOSTING SERVICES,FALSE
SOLUTION DEVELOPMENT (ANALYTICS),,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
SOLUTION DEVELOPMENT (CRM),,,,,,Business Solutions Delivery,APPLICATION SERVICES ,FALSE
TELECOMM CONTRACT,,,,,,First Deputy Commissioner,TELECOM,FALSE
